exp_trial_type,trial_type,choice_set,angle_a,radius_a,angle_b,radius_b,angle_c,radius_c,abc_correct,tc_correct,tc_angle,tdc_a,tdc_b,tdc_c,pair,category_a,category_b,category_c
transfer,attraction,trinary,28,75,30.25,75,22,75,ac,both,180,t,d,c,1,NA,NA,NA
transfer,attraction,trinary,22,75,19.75,75,28,75,ac,both,180,t,d,c,2,NA,NA,NA
transfer,attraction,trinary,25,84,25,90.75,25,66,ac,both,180,t,d,c,3,NA,NA,NA
transfer,attraction,trinary,25,66,25,59.25,25,84,ac,both,180,t,d,c,4,NA,NA,NA
transfer,attraction,binary,28,75,22,75,NA,NA,ab,both,180,t,c,NA,1,NA,NA,NA
transfer,attraction,binary,22,75,28,75,NA,NA,ab,both,180,t,c,NA,2,NA,NA,NA
transfer,attraction,binary,25,84,25,66,NA,NA,ab,both,180,t,c,NA,3,NA,NA,NA
transfer,attraction,binary,25,66,25,84,NA,NA,ab,both,180,t,c,NA,4,NA,NA,NA
transfer,attraction,trinary,28,75,30.25,75,25,66,ac,both,90,t,d,c,1,NA,NA,NA
transfer,attraction,trinary,22,75,19.75,75,25,84,ac,both,90,t,d,c,2,NA,NA,NA
transfer,attraction,trinary,25,66,25,59.25,28,75,ac,both,90,t,d,c,3,NA,NA,NA
transfer,attraction,trinary,25,84,25,90.75,22,75,ac,both,90,t,d,c,4,NA,NA,NA
transfer,attraction,binary,28,75,25,66,NA,NA,ab,both,90,t,c,NA,1,NA,NA,NA
transfer,attraction,binary,22,75,25,84,NA,NA,ab,both,90,t,c,NA,2,NA,NA,NA
transfer,attraction,binary,25,66,28,75,NA,NA,ab,both,90,t,c,NA,3,NA,NA,NA
transfer,attraction,binary,25,84,22,75,NA,NA,ab,both,90,t,c,NA,4,NA,NA,NA
transfer,attraction,trinary,28,75,30.25,75,22,75,ac,both,180,t,d,c,1,NA,NA,NA
transfer,attraction,trinary,22,75,19.75,75,28,75,ac,both,180,t,d,c,2,NA,NA,NA
transfer,attraction,trinary,25,84,25,90.75,25,66,ac,both,180,t,d,c,3,NA,NA,NA
transfer,attraction,trinary,25,66,25,59.25,25,84,ac,both,180,t,d,c,4,NA,NA,NA
transfer,attraction,binary,28,75,22,75,NA,NA,ab,both,180,t,c,NA,1,NA,NA,NA
transfer,attraction,binary,22,75,28,75,NA,NA,ab,both,180,t,c,NA,2,NA,NA,NA
transfer,attraction,binary,25,84,25,66,NA,NA,ab,both,180,t,c,NA,3,NA,NA,NA
transfer,attraction,binary,25,66,25,84,NA,NA,ab,both,180,t,c,NA,4,NA,NA,NA
transfer,attraction,trinary,28,75,30.25,75,25,66,ac,both,90,t,d,c,1,NA,NA,NA
transfer,attraction,trinary,22,75,19.75,75,25,84,ac,both,90,t,d,c,2,NA,NA,NA
transfer,attraction,trinary,25,66,25,59.25,28,75,ac,both,90,t,d,c,3,NA,NA,NA
transfer,attraction,trinary,25,84,25,90.75,22,75,ac,both,90,t,d,c,4,NA,NA,NA
transfer,attraction,binary,28,75,25,66,NA,NA,ab,both,90,t,c,NA,1,NA,NA,NA
transfer,attraction,binary,22,75,25,84,NA,NA,ab,both,90,t,c,NA,2,NA,NA,NA
transfer,attraction,binary,25,66,28,75,NA,NA,ab,both,90,t,c,NA,3,NA,NA,NA
transfer,attraction,binary,25,84,22,75,NA,NA,ab,both,90,t,c,NA,4,NA,NA,NA
transfer,attraction,trinary,28,75,30.25,75,22,75,ac,both,180,t,d,c,1,NA,NA,NA
transfer,attraction,trinary,22,75,19.75,75,28,75,ac,both,180,t,d,c,2,NA,NA,NA
